,SBUX
% Below High,0.1583
% Held by Institutions,0.6797
52-Wk Range,['68.39 - 117.80']
Annual Dividend $,2.12
Annual Dividend %,0.0213
Ask,99.17
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,0.9
Bid,99.15
Bid Size,300.0
Day Change $,-0.405
Day Change %,-0.0040999999999999995
Day High,100.16
Day Low,98.62
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.83
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.35700000000000004
Last (size),100.0
Last (time),1:46p ET 11/28/22
Market Cap,113.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.14
Prev Close,99.56
Price,99.16
Shares Outstanding,1.1B
Short Interest,0.0137
Today's Open,98.99
Volume Past Day,(Light)
