,SBUX
Price/Earnings (TTM),35.14048
Price/Sales (TTM),3.54338
Price/Book (MRQ),
Price/Cash Flow (TTM),23.74397
5yr Low,47.37
5yr High,126.32
5yr Avg Return,0.10958333333333335
EPS Growth 5yr,0.0749241
Revenue Growth 5yr,0.0757426
Dividend Growth 5yr,0.14406639999999998
Short Int Current Month,15131344.0
Short Int Prev Month,13092385.0
Short Int Pct of Float,0.013662399999999998
Days to Cover,1.62697
Float,1145.638
Shares Outstanding,1147.8
Institutions Holding Shares,2704.0
% Held by Institutions,0.679746
FCF Growth 5yr,0.2666032228548945
