,AEVA
Price/Earnings (TTM),
Price/Sales (TTM),49.82147
Price/Book (MRQ),0.937
Price/Cash Flow (TTM),
5yr Low,1.55
5yr High,21.83
5yr Avg Return,-0.2699333333333333
Short Int Current Month,7768254.0
Short Int Prev Month,6940190.0
Short Int Pct of Float,0.061789
Days to Cover,5.07308
Float,125.9337
Shares Outstanding,218.2307
Institutions Holding Shares,175.0
% Held by Institutions,0.41074
FCF Growth 5yr,0.3202935654548558
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
