,AEVA
% Above Low,0.0195
% Held by Institutions,0.4107
52-Wk Range,['1.54 - 10.75']
Annual Dividend $,
Annual Dividend %,
Ask,1.61
Ask Size,600.0
B/A Ratio,0.8333333333333334
B/A Size,500x600
Beta,
Bid,1.54
Bid Size,500.0
Closing Price,1.57
Day Change $,-0.05
Day Change %,-0.030899999999999997
Day High,1.6
Day Low,1.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.63
Ex-dividend Date,No dividend
Historical Volatility,0.867
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,339.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.62
Shares Outstanding,218.2M
Short Interest,0.061799999999999994
Today's Open,1.59
Volume,704061.0
Volume 10-day Avg,1581153.0
Volume Past Day,(Light)
