,BIIB
% Below High,0.0077
% Held by Institutions,
52-Wk Range,['187.16 - 307.53']
Annual Dividend $,
Annual Dividend %,
Ask,308.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,302.8
Bid Size,500.0
Closing Price,305.15
Day Change $,1.7
Day Change %,0.005600000000000001
Day High,307.53
Day Low,302.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.47200000000000003
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,44.0B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,303.45
Shares Outstanding,144.0M
Short Interest,
Today's Open,304.35
Volume,470765.0
Volume 10-day Avg,1144594.0
Volume Past Day,(Light)
