,BIIB
5yr Low,187.16
5yr High,468.55
5yr Avg Return,0.002766666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0082963
Dividend Growth 5yr,
FCF Growth 5yr,2.161524935701134
