,NFE
% Below High,0.1954
% Held by Institutions,0.47869999999999996
52-Wk Range,['19.17 - 63.06']
Annual Dividend $,0.4
Annual Dividend %,0.0079
Ask,54.9
Ask Size,500.0
Ask close,54.09
B/A Ratio,0.2
B/A Size,100x500
Beta,1.6
Bid,45.01
Bid Size,100.0
Bid close,47.82
Change Since Close,-0.69| |(-1.36%)
Closing Price,50.74
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.31
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.642
Last (size),5.0
Last (time),1:00p ET 11/25/22
Last Trade,50.05
Market Cap,10.6B
"P/E Ratio (TTM, GAAP)",38.88
Prev Close,50.74
Shares Outstanding,208.8M
Short Interest,0.061200000000000004
Today's Open,
Volume,786.0
Volume 10-day Avg,1585245.0
Volume Past Day,(Light)
