,DHT
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.9085714285714286
Growth 1yr High Est,-0.7727272727272727
Growth 1yr Consensus Est,-0.8406493506493506
Growth 2yr Low Est,0.8582142857142855
Growth 2yr High Est,0.846969696969697
Growth 2yr Consensus Est,0.8525919913419913
Growth 5yr Low Est,0.572142857142857
Growth 5yr High Est,0.5646464646464647
Growth 5yr Consensus Est,0.568394660894661
Growth 5yr Actual/Est,0.055213927478985014
Growth 3yr Historic,0.2672882308845579
