,DHT
Price/Earnings (TTM),
Price/Sales (TTM),5.21725
Price/Book (MRQ),1.64808
Price/Cash Flow (TTM),16.88774
5yr Low,3.27
5yr High,10.64
5yr Avg Return,0.27659999999999996
EPS Growth 5yr,
Revenue Growth 5yr,-0.036342400000000004
Dividend Growth 5yr,-0.2879065
Short Int Current Month,5042821.0
Short Int Prev Month,4151894.0
Short Int Pct of Float,0.0375533
Days to Cover,1.95056
Float,134.2843
Shares Outstanding,162.6533
Institutions Holding Shares,200.0
% Held by Institutions,0.608843
FCF Growth 5yr,1.7921761412058625
