,DHT
% Below High,0.037599999999999995
% Held by Institutions,0.6088
52-Wk Range,['4.55 - 10.64']
Annual Dividend $,0.16
Annual Dividend %,0.015600000000000001
Ask,10.23
Ask Size,
B/A Ratio,
B/A Size,--
Beta,-0.2
Bid,
Bid Size,
Closing Price,10.24
Day Change $,0.1
Day Change %,0.009899999999999999
Day High,10.28
Day Low,9.65
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",-0.19
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.454
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.14
Shares Outstanding,162.7M
Short Interest,0.037599999999999995
Today's Open,9.97
Volume,1114759.0
Volume 10-day Avg,2285938.0
Volume Past Day,(Light)
