,MCFT
% Below High,0.1536
% Held by Institutions,0.9415
52-Wk Range,['18.49 - 29.69']
Annual Dividend $,
Annual Dividend %,
Ask,26.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,20.53
Bid Size,100.0
Closing Price,25.13
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.95
Ex-dividend Date,No dividend
Historical Volatility,0.445
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,447.4M
"P/E Ratio (TTM, GAAP)",6.37
Prev Close,25.13
Shares Outstanding,17.8M
Short Interest,0.0385
Today's Open,
Volume,24409.0
Volume 10-day Avg,100150.0
Volume Past Day,(Light)
