,MCFT
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.11764705882352944
Growth 2yr High Est,0.06444444444444453
Growth 2yr Consensus Est,-0.026601307189542456
Growth 5yr Low Est,-0.11764705882352944
Growth 5yr High Est,0.06444444444444453
Growth 5yr Consensus Est,-0.026601307189542456
Growth 5yr Actual/Est,0.44479177632038314
Growth 3yr Historic,0.4604376155476394
