,MCFT
Price/Earnings (TTM),6.3677
Price/Sales (TTM),0.61009
Price/Book (MRQ),3.13683
Price/Cash Flow (TTM),5.24376
5yr Low,4.9
5yr High,39.5
5yr Avg Return,0.038566666666666666
EPS Growth 5yr,0.24340779999999998
Revenue Growth 5yr,0.2536074
Dividend Growth 5yr,
Short Int Current Month,667750.0
Short Int Prev Month,678501.0
Short Int Pct of Float,0.0385061
Days to Cover,5.89922
Float,17.3414
Shares Outstanding,17.80438
Institutions Holding Shares,164.0
% Held by Institutions,0.941478
FCF Growth 5yr,1.3361485437480398
