,M
Price/Earnings (TTM),4.92761
Price/Sales (TTM),0.2493
Price/Book (MRQ),1.8443
Price/Cash Flow (TTM),2.83968
5yr Low,4.38
5yr High,41.99
5yr Avg Return,0.11918333333333331
EPS Growth 5yr,0.1750596
Revenue Growth 5yr,-0.0037994
Dividend Growth 5yr,-0.2744934
Short Int Current Month,18904105.0
Short Int Prev Month,19376348.0
Short Int Pct of Float,0.0700174
Days to Cover,1.99369
Float,270.1969
Shares Outstanding,271.0
Institutions Holding Shares,529.0
% Held by Institutions,0.804701
FCF Growth 5yr,6.743195145940512
