,M
% Below High,0.2427
% Held by Institutions,0.8047
52-Wk Range,['15.10 - 31.23']
Annual Dividend $,0.63
Annual Dividend %,0.026600000000000002
Ask,23.45
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,23.37
Bid Size,200.0
Change Since Close,-0.38| |(-1.61%)
Closing Price,23.65
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",4.8
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.654
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,23.27
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.93
Prev Close,23.65
Shares Outstanding,271.0M
Short Interest,0.07
Today's Open,
Volume,1016.0
Volume 10-day Avg,15158264.0
Volume Past Day,(Light)
