,SWTX
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.42746
Price/Cash Flow (TTM),
5yr Low,13.6
5yr High,96.48
5yr Avg Return,0.16792499999999996
Short Int Current Month,12100664.0
Short Int Prev Month,11046180.0
Short Int Pct of Float,0.2233311
Days to Cover,13.26638
Float,54.22371
Shares Outstanding,62.38227
Institutions Holding Shares,226.0
% Held by Institutions,0.988177
FCF Growth 5yr,0.1524108879350612
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
