,SWTX
% Above Low,0.6915000000000001
% Held by Institutions,0.9882
52-Wk Range,['13.60 - 74.97']
Annual Dividend $,
Annual Dividend %,
Ask,23.03
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,22.98
Bid Size,200.0
Day Change $,-0.825
Day Change %,-0.0346
Day High,23.77
Day Low,22.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.19
Ex-dividend Date,No dividend
Historical Volatility,0.973
Last (size),100.0
Last (time),3:47p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.83
Price,23.01
Shares Outstanding,62.4M
Short Interest,0.22329999999999997
Today's Open,23.42
Volume Past Day,(Light)
