,ANIP
% Below High,0.19399999999999998
% Held by Institutions,0.735
52-Wk Range,['22.31 - 51.69']
Annual Dividend $,
Annual Dividend %,
Ask,49.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.0
Bid,16.73
Bid Size,200.0
Closing Price,41.66
Day Change $,1.47
Day Change %,0.0366
Day High,41.66
Day Low,39.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.48
Ex-dividend Date,No dividend
Historical Volatility,0.504
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,727.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,40.19
Shares Outstanding,17.5M
Short Interest,0.0397
Today's Open,39.95
Volume,48911.0
Volume 10-day Avg,74127.0
Volume Past Day,(Light)
