,ANIP
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.6277777777777778
Growth 1yr High Est,-0.6324324324324324
Growth 1yr Consensus Est,-0.6301051051051051
Growth 2yr Low Est,0.13387230514096182
Growth 2yr High Est,0.4080484896661366
Growth 2yr Consensus Est,0.2709603974035492
Growth 5yr Low Est,-0.007282597429519089
Growth 5yr High Est,0.13156743101349058
Growth 5yr Consensus Est,0.06214241679198573
Growth 5yr Actual/Est,0.04253598757255811
Growth 3yr Historic,-0.09778938452851496
