,ANIP
Price/Earnings (TTM),
Price/Sales (TTM),2.5702
Price/Book (MRQ),2.33518
Price/Cash Flow (TTM),
5yr Low,22.31
5yr High,86.96
5yr Avg Return,0.0007499999999999929
EPS Growth 5yr,
Revenue Growth 5yr,0.1093852
Dividend Growth 5yr,
Short Int Current Month,502219.0
Short Int Prev Month,573692.0
Short Int Pct of Float,0.039698199999999996
Days to Cover,6.41027
Float,12.9295
Shares Outstanding,17.46467
Institutions Holding Shares,191.0
% Held by Institutions,0.735038
FCF Growth 5yr,-9.243276808269654
