,IRDM
Price/Earnings (TTM),1811.269
Price/Sales (TTM),9.63814
Price/Book (MRQ),5.75477
Price/Cash Flow (TTM),21.40682
5yr Low,10.75
5yr High,54.65
5yr Avg Return,0.30271666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.0722067
Dividend Growth 5yr,
Short Int Current Month,4965764.0
Short Int Prev Month,5958101.0
Short Int Pct of Float,0.044015700000000005
Days to Cover,8.10574
Float,112.739
Shares Outstanding,125.6425
Institutions Holding Shares,422.0
% Held by Institutions,0.8431399999999999
FCF Growth 5yr,0.4454083707298777
