,GRPN
% Above Low,0.32280000000000003
% Held by Institutions,0.5490999999999999
52-Wk Range,['6.35 - 31.15']
Annual Dividend $,
Annual Dividend %,
Ask,8.65
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,8.08
Bid Size,200.0
Closing Price,8.4
Day Change $,0.26
Day Change %,0.0319
Day High,8.44
Day Low,8.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.26
Ex-dividend Date,No dividend
Historical Volatility,0.907
Last (size),50.0
Last (time),1:00p ET 11/25/22
Market Cap,255.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.14
Shares Outstanding,30.4M
Short Interest,0.2786
Today's Open,8.06
Volume,278214.0
Volume 10-day Avg,1044078.0
Volume Past Day,(Light)
