,GRPN
Price/Earnings (TTM),
Price/Sales (TTM),0.37929
Price/Book (MRQ),2.63721
Price/Cash Flow (TTM),
5yr Low,6.35
5yr High,118.6
5yr Avg Return,-0.3325666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.20333189999999998
Dividend Growth 5yr,
Short Int Current Month,5324457.0
Short Int Prev Month,4833657.0
Short Int Pct of Float,0.27856359999999997
Days to Cover,3.28533
Float,19.17416
Shares Outstanding,30.43738
Institutions Holding Shares,160.0
% Held by Institutions,0.549124
FCF Growth 5yr,0.11724662956205822
