,GRPN
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-3.216216216216216
Growth 1yr High Est,-2.16260162601626
Growth 1yr Consensus Est,-2.6894089211162377
Growth 2yr Low Est,-2.1223357503845306
Growth 2yr High Est,-2.08130081300813
Growth 2yr Consensus Est,-2.10181828169633
Growth 5yr Low Est,-2.1223357503845306
Growth 5yr High Est,-2.08130081300813
Growth 5yr Consensus Est,-2.10181828169633
Growth 5yr Actual/Est,-1.8708530631387694
Growth 3yr Historic,-0.8307278742762614
