,BAC
% Above Low,0.2863
% Held by Institutions,0.6904
52-Wk Range,['29.31 - 50.11']
Annual Dividend $,0.88
Annual Dividend %,0.0233
Ask,37.72
Ask Size,300.0
B/A Ratio,9.666666666666666
B/A Size,2900x300
Beta,1.4
Bid,37.7
Bid Size,2900.0
Closing Price,37.7
Day Change $,0.09
Day Change %,0.0024
Day High,37.87
Day Low,37.56
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.16
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.324
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,302.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.93
Prev Close,37.61
Shares Outstanding,8.0B
Short Interest,0.0092
Today's Open,37.72
Volume,16118501.0
Volume 10-day Avg,29913834.0
Volume Past Day,(Light)
