,BAC
Price/Earnings (TTM),11.92623
Price/Sales (TTM),3.27046
Price/Book (MRQ),1.25846
Price/Cash Flow (TTM),10.85786
5yr Low,17.95
5yr High,50.11
5yr Avg Return,0.09230000000000002
EPS Growth 5yr,0.19127159999999999
Revenue Growth 5yr,-0.013626000000000001
Dividend Growth 5yr,0.2555411
Short Int Current Month,73606657.0
Short Int Prev Month,79277165.0
Short Int Pct of Float,0.0091912
Days to Cover,1.92739
Float,8011.54
Shares Outstanding,8022.432
Institutions Holding Shares,3234.0
% Held by Institutions,0.69035
FCF Growth 5yr,
