,BAC
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.06325301204819278
Growth 1yr High Est,-0.0730337078651686
Growth 1yr Consensus Est,-0.0681433599566807
Growth 2yr Low Est,-0.07342714911091308
Growth 2yr High Est,0.09984678243105216
Growth 2yr Consensus Est,0.01320981666006954
Growth 5yr Low Est,0.12568436815407807
Growth 5yr High Est,0.172449354652141
Growth 5yr Consensus Est,0.14906686140310954
Growth 5yr Actual/Est,0.16198736312706902
Growth 3yr Historic,0.14727272727272725
