,PRTS
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8695652173913043
Growth 1yr High Est,-1.0
Growth 1yr Consensus Est,-0.9347826086956521
Growth 2yr Low Est,0.23188405797101458
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,0.23188405797101458
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,0.036235955056179825
Growth 3yr Historic,0.7612359550561798
