,PRTS
Price/Earnings (TTM),1900.356
Price/Sales (TTM),0.45147
Price/Book (MRQ),2.48822
Price/Cash Flow (TTM),22.77222
5yr Low,0.88
5yr High,23.26
5yr Avg Return,0.8139500000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.1393808
Dividend Growth 5yr,
Short Int Current Month,4867885.0
Short Int Prev Month,6223055.0
Short Int Pct of Float,0.096897
Days to Cover,3.06672
Float,50.24163
Shares Outstanding,54.5595
Institutions Holding Shares,181.0
% Held by Institutions,0.78091
FCF Growth 5yr,-0.853905523470924
