,PRTS
% Above Low,0.3525
% Held by Institutions,0.7809
52-Wk Range,['3.92 - 13.96']
Annual Dividend $,
Annual Dividend %,
Ask,5.3
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,2.3
Bid,5.29
Bid Size,500.0
Day Change $,-0.045
Day Change %,-0.0084
Day High,5.41
Day Low,5.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.0
Ex-dividend Date,No dividend
Historical Volatility,0.75
Last (size),100.0
Last (time),11:37a ET 11/28/22
Market Cap,288.9M
"P/E Ratio (TTM, GAAP)",1900.36
Prev Close,5.34
Price,5.3
Shares Outstanding,54.6M
Short Interest,0.0969
Today's Open,5.28
Volume Past Day,(Light)
