,DVN
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-49.588235294117645
Growth 1yr High Est,59.46666666666667
Growth 1yr Consensus Est,4.939215686274512
Growth 2yr Low Est,-24.898839196695626
Growth 2yr High Est,29.847997059904447
Growth 2yr Consensus Est,2.4745789316044107
Growth 5yr Low Est,-16.59922613113042
Growth 5yr High Est,19.898664706602965
Growth 5yr Consensus Est,1.6497192877362739
Growth 5yr Actual/Est,-9.949557646476912
Growth 3yr Historic,-10.32638888888889
