,DVN
% Below High,0.1392
% Held by Institutions,0.7634000000000001
52-Wk Range,['35.55 - 79.40']
Annual Dividend $,5.17
Annual Dividend %,0.0756
Ask,68.8
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,2.4
Bid,68.3
Bid Size,800.0
Closing Price,68.35
Day Change $,0.55
Day Change %,0.008100000000000001
Day High,69.1
Day Low,67.96
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",9.53
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.56
Last (size),57.0
Last (time),5:00p ET 11/25/22
Market Cap,44.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.17
Prev Close,67.8
Shares Outstanding,653.7M
Short Interest,0.0253
Today's Open,68.45
Volume,3520469.0
Volume 10-day Avg,9349167.0
Volume Past Day,(Light)
