,DVN
Price/Earnings (TTM),7.16849
Price/Sales (TTM),2.33403
Price/Book (MRQ),4.11118
Price/Cash Flow (TTM),5.24418
5yr Low,4.7
5yr High,79.4
5yr Avg Return,0.2925
EPS Growth 5yr,
Revenue Growth 5yr,0.0344595
Dividend Growth 5yr,0.3622079
Short Int Current Month,16384673.0
Short Int Prev Month,19684847.0
Short Int Pct of Float,0.025297999999999998
Days to Cover,1.29162
Float,647.7078
Shares Outstanding,653.7
Institutions Holding Shares,1547.0
% Held by Institutions,0.763415
FCF Growth 5yr,0.23173417412723885
