,SWI
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-0.11702127659574468
Growth 1yr High Est,-0.11111111111111105
Growth 1yr Consensus Est,-0.11406619385342787
Growth 2yr Low Est,-0.10067931299666749
Growth 2yr High Est,0.05239898989899
Growth 2yr Consensus Est,-0.024140161548838746
Growth 5yr Low Est,-0.013754290644675232
Growth 5yr High Est,0.07084235209235215
Growth 5yr Consensus Est,0.02854403072383846
Growth 5yr Actual/Est,-0.10669563279857391
Growth 3yr Historic,-0.057308377896613166
