,SWI
% Above Low,0.15380000000000002
% Held by Institutions,0.9793000000000001
52-Wk Range,['7.51 - 15.14']
Annual Dividend $,
Annual Dividend %,
Ask,8.66
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.0
Bid,8.66
Bid Size,500.0
Day Change $,0.115
Day Change %,0.013500000000000002
Day High,8.77
Day Low,8.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.85
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),100.0
Last (time),3:43p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.55
Price,8.67
Shares Outstanding,161.7M
Short Interest,0.051100000000000007
Today's Open,8.45
Volume Past Day,(Light)
