,KNBE
Price/Earnings (TTM),283.2741
Price/Sales (TTM),14.02175
Price/Book (MRQ),17.59938
Price/Cash Flow (TTM),140.095
5yr Low,13.78
5yr High,36.67
5yr Avg Return,0.10725
Short Int Current Month,2992122.0
Short Int Prev Month,3054773.0
Short Int Pct of Float,0.0370556
Days to Cover,2.0424
Float,82.62182
Shares Outstanding,176.4425
Institutions Holding Shares,236.0
% Held by Institutions,0.7527389999999999
FCF Growth 5yr,0.2878095211428629
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
