,STZ
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.09165808444902157
Growth 1yr High Est,0.10361216730038025
Growth 1yr Consensus Est,0.09763512587470091
Growth 2yr Low Est,0.09677243845092587
Growth 2yr High Est,0.13535474859420393
Growth 2yr Consensus Est,0.1160635935225649
Growth 5yr Low Est,0.0801175661180451
Growth 5yr High Est,0.11460574656193856
Growth 5yr Consensus Est,0.09736165633999183
Growth 5yr Actual/Est,0.08622652470868958
Growth 3yr Historic,0.029067740502208395
