,STZ
Price/Earnings (TTM),605.9729
Price/Sales (TTM),5.03083
Price/Book (MRQ),5.05787
Price/Cash Flow (TTM),93.38983
5yr Low,104.28
5yr High,261.53
5yr Avg Return,0.040566666666666674
EPS Growth 5yr,
Revenue Growth 5yr,0.0379713
Dividend Growth 5yr,0.1369745
Short Int Current Month,2109393.0
Short Int Prev Month,1399046.0
Short Int Pct of Float,0.0133752
Days to Cover,1.94334
Float,157.7428
Shares Outstanding,184.4657
Institutions Holding Shares,1541.0
% Held by Institutions,0.71178
FCF Growth 5yr,0.1389057333195586
