,STZ
% Below High,0.015600000000000001
% Held by Institutions,0.7118000000000001
52-Wk Range,['207.59 - 261.53']
Annual Dividend $,3.2
Annual Dividend %,0.0124
Ask,257.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,257.42
Bid Size,100.0
Day Change $,-0.04
Day Change %,-0.0002
Day High,258.8
Day Low,256.4
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.1
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.23
Last (size),22.0
Last (time),3:37p ET 11/28/22
Market Cap,47.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",605.97
Prev Close,257.49
Price,257.45
Shares Outstanding,184.4M
Short Interest,0.0134
Today's Open,256.95
Volume Past Day,(Light)
