,AVID
% Above Low,0.349
% Held by Institutions,0.9031
52-Wk Range,['20.83 - 37.31']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,25.37
Bid Size,200.0
Closing Price,28.1
Day Change $,-0.28
Day Change %,-0.009899999999999999
Day High,28.35
Day Low,27.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.0
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",28.18
Prev Close,28.38
Shares Outstanding,43.7M
Short Interest,0.0516
Today's Open,27.94
Volume,94556.0
Volume 10-day Avg,237910.0
Volume Past Day,(Light)
