,DENN
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.040000000000000036
Growth 1yr High Est,-0.054545454545454564
Growth 1yr Consensus Est,-0.0472727272727273
Growth 2yr Low Est,0.11541666666666661
Growth 2yr High Est,0.18426573426573417
Growth 2yr Consensus Est,0.1498412004662004
Growth 5yr Low Est,0.11541666666666661
Growth 5yr High Est,0.18426573426573417
Growth 5yr Consensus Est,0.1498412004662004
Growth 5yr Actual/Est,-1.5006277056277058
Growth 3yr Historic,-1.5806277056277058
