,DENN
% Above Low,0.4657
% Held by Institutions,0.8382999999999999
52-Wk Range,['8.46 - 16.97']
Annual Dividend $,
Annual Dividend %,
Ask,12.47
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,11.7
Bid Size,200.0
Closing Price,12.4
Day Change $,0.14
Day Change %,0.011399999999999999
Day High,12.47
Day Low,12.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),192.0
Last (time),12:59p ET 11/25/22
Market Cap,710.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.42
Prev Close,12.26
Shares Outstanding,57.2M
Short Interest,0.030899999999999997
Today's Open,12.2
Volume,434047.0
Volume 10-day Avg,830283.0
Volume Past Day,(Light)
