,DENN
Price/Earnings (TTM),7.41791
Price/Sales (TTM),1.60122
Price/Book (MRQ),
Price/Cash Flow (TTM),5.88888
5yr Low,4.5
5yr High,23.88
5yr Avg Return,0.01638333333333333
EPS Growth 5yr,0.3649504
Revenue Growth 5yr,-0.0471558
Dividend Growth 5yr,
Short Int Current Month,1704014.0
Short Int Prev Month,1851099.0
Short Int Pct of Float,0.030939499999999998
Days to Cover,2.08365
Float,54.89277
Shares Outstanding,57.23327
Institutions Holding Shares,203.0
% Held by Institutions,0.83832
FCF Growth 5yr,0.10808033394197676
