,FAST
Price/Earnings (TTM),28.14273
Price/Sales (TTM),4.39673
Price/Book (MRQ),9.48129
Price/Cash Flow (TTM),24.01645
5yr Low,23.69
5yr High,64.75
5yr Avg Return,0.15808333333333333
EPS Growth 5yr,0.1316378
Revenue Growth 5yr,0.08693659999999999
Dividend Growth 5yr,0.1329568
Short Int Current Month,12057779.0
Short Int Prev Month,12539122.0
Short Int Pct of Float,0.0210919
Days to Cover,3.48421
Float,571.7441
Shares Outstanding,572.7599
Institutions Holding Shares,1306.0
% Held by Institutions,0.766332
FCF Growth 5yr,0.18575226888137197
