,FAST
% Above Low,0.1967
% Held by Institutions,0.7663
52-Wk Range,['43.73 - 64.75']
Annual Dividend $,1.24
Annual Dividend %,0.023700000000000002
Ask,53.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,51.6
Bid Size,100.0
Closing Price,52.33
Day Change $,-0.08
Day Change %,-0.0015
Day High,52.51
Day Low,52.21
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.86
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.289
Last (size),14300.0
Last (time),1:00p ET 11/25/22
Market Cap,30.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.14
Prev Close,52.41
Shares Outstanding,572.8M
Short Interest,0.021099999999999997
Today's Open,52.23
Volume,900281.0
Volume 10-day Avg,2857549.0
Volume Past Day,(Light)
