,FAST
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.1858974358974359
Growth 1yr High Est,0.19496855345911945
Growth 1yr Consensus Est,0.19043299467827768
Growth 2yr Low Est,0.05781358281358279
Growth 2yr High Est,0.1501158556769282
Growth 2yr Consensus Est,0.1039647192452555
Growth 5yr Low Est,0.062470848794156125
Growth 5yr High Est,0.10791507069560696
Growth 5yr Consensus Est,0.08519295974488154
Growth 5yr Actual/Est,0.088782848241023
Growth 3yr Historic,0.03838391207081027
