,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Positive Surprise,0.72,,,,,,,0.66,0.72,,
Year ending 12/2020,Positive Surprise,-0.56,,-1.777777777777778,,,,,-0.66,-0.56,-1.777777777777778,
Year ending 12/2021,Positive Surprise,-0.06,,-0.8928571428571429,,,,,-0.13,-0.06,-0.8928571428571429,
Year ending 12/2022,Neutral,,-0.42,0.0,-0.46,,-0.36,,-0.42,-0.42,6.0,
Year ending 12/2023,Neutral,,-0.08,0.0,-0.53,0.15217391304347827,0.23,-1.6388888888888888,-0.08,-0.08,-0.8095238095238095,-0.7433574879227053
