,SHAK
Price/Earnings (TTM),
Price/Sales (TTM),2.4012
Price/Book (MRQ),5.14885
Price/Cash Flow (TTM),47.26638
5yr Low,30.01
5yr High,138.38
5yr Avg Return,0.06891666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.22476569999999998
Dividend Growth 5yr,
Short Int Current Month,2923532.0
Short Int Prev Month,3364104.0
Short Int Pct of Float,0.0784617
Days to Cover,2.8996
Float,37.25908
Shares Outstanding,42.14945
Institutions Holding Shares,328.0
% Held by Institutions,0.891995
FCF Growth 5yr,0.16060361295967138
