,SHAK
% Above Low,0.2925
% Held by Institutions,0.892
52-Wk Range,['37.72 - 81.83']
Annual Dividend $,
Annual Dividend %,
Ask,48.78
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,48.73
Bid Size,200.0
Day Change $,-0.54
Day Change %,-0.011000000000000001
Day High,49.7
Day Low,48.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),100.0
Last (time),2:09p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,49.29
Price,48.75
Shares Outstanding,39.3M
Short Interest,0.0785
Today's Open,49.02
Volume Past Day,(Light)
