,AMSWA
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.11111111111111116
Growth 2yr High Est,0.3913043478260869
Growth 2yr Consensus Est,0.25120772946859904
Growth 5yr Low Est,0.11111111111111116
Growth 5yr High Est,0.3913043478260869
Growth 5yr Consensus Est,0.25120772946859904
Growth 5yr Actual/Est,0.2704671215309513
Growth 3yr Historic,0.24891774891774893
