,AMSWA
% Above Low,0.0904
% Held by Institutions,0.7678
52-Wk Range,['13.39 - 26.95']
Annual Dividend $,0.44
Annual Dividend %,0.0301
Ask,17.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.8
Bid,5.97
Bid Size,200.0
Closing Price,14.6
Day Change $,0.06
Day Change %,0.0040999999999999995
Day High,14.99
Day Low,14.49
Dividend Pay Date,2023-02-17 00:00:00
"EPS (TTM, GAAP)",0.32
Ex-dividend,2023-02-02 00:00:00
Ex-dividend Date,02/02/23
Historical Volatility,0.389
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,492.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.08
Prev Close,14.54
Shares Outstanding,33.7M
Short Interest,0.0091
Today's Open,14.55
Volume,60760.0
Volume 10-day Avg,140220.0
Volume Past Day,(Light)
