,AMSWA
Price/Earnings (TTM),46.07713
Price/Sales (TTM),3.79008
Price/Book (MRQ),3.88241
Price/Cash Flow (TTM),34.39395
5yr Low,8.99
5yr High,33.27
5yr Avg Return,0.08305000000000001
EPS Growth 5yr,-0.039875600000000004
Revenue Growth 5yr,0.037153200000000004
Dividend Growth 5yr,0.0046085
Short Int Current Month,326014.0
Short Int Prev Month,403789.0
Short Int Pct of Float,0.0090534
Days to Cover,3.04635
Float,29.60479
Shares Outstanding,33.69665
Institutions Holding Shares,198.0
% Held by Institutions,0.767822
FCF Growth 5yr,1.1766345335854753
