,AMRX
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.23529411764705876
Growth 1yr High Est,-0.25555555555555554
Growth 1yr Consensus Est,-0.24542483660130715
Growth 2yr Low Est,-0.07149321266968328
Growth 2yr High Est,-0.015837479270315202
Growth 2yr Consensus Est,-0.04366534596999924
Growth 5yr Low Est,0.16387631975867267
Growth 5yr High Est,0.11764680869158473
Growth 5yr Consensus Est,0.1407615642251287
Growth 5yr Actual/Est,0.2730859010270775
Growth 3yr Historic,0.2873015873015873
