,AMRX
Price/Earnings (TTM),
Price/Sales (TTM),0.33915
Price/Book (MRQ),2.4388
Price/Cash Flow (TTM),
5yr Low,1.95
5yr High,24.48
5yr Avg Return,-0.22995000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.2048999
Dividend Growth 5yr,
Short Int Current Month,4306569.0
Short Int Prev Month,4676542.0
Short Int Pct of Float,0.0362271
Days to Cover,3.12868
Float,118.8771
Shares Outstanding,303.5927
Institutions Holding Shares,200.0
% Held by Institutions,0.660652
FCF Growth 5yr,-1.006870131834859
