,NGM
% Above Low,0.8390000000000001
% Held by Institutions,0.7208
52-Wk Range,['2.92 - 19.14']
Annual Dividend $,
Annual Dividend %,
Ask,5.65
Ask Size,100.0
Ask close,6.51
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,3.88
Bid Size,100.0
Bid close,4.14
Change Since Close,-0.13| |(-2.42%)
Closing Price,5.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.94
Ex-dividend Date,No dividend
Historical Volatility,1.392
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,5.24
Market Cap,438.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.37
Shares Outstanding,81.7M
Short Interest,0.0352
Today's Open,
Volume,3.0
Volume 10-day Avg,452587.0
Volume Past Day,(Light)
