,NGM
Price/Earnings (TTM),
Price/Sales (TTM),7.55226
Price/Book (MRQ),1.53488
Price/Cash Flow (TTM),
5yr Low,2.92
5yr High,32.12
5yr Avg Return,-0.060925000000000014
EPS Growth 5yr,
Revenue Growth 5yr,-0.0186954
Dividend Growth 5yr,
Short Int Current Month,2218494.0
Short Int Prev Month,2157197.0
Short Int Pct of Float,0.0352203
Days to Cover,3.20176
Float,64.61244
Shares Outstanding,81.72611
Institutions Holding Shares,186.0
% Held by Institutions,0.720793
FCF Growth 5yr,0.4076575329713483
