,PTGX
% Above Low,0.0608
% Held by Institutions,0.924
52-Wk Range,['6.91 - 37.05']
Annual Dividend $,
Annual Dividend %,
Ask,7.36
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.3
Bid,7.32
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0355
Day High,7.62
Day Low,7.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.67
Ex-dividend Date,No dividend
Historical Volatility,0.976
Last (size),100.0
Last (time),11:49a ET 11/28/22
Market Cap,362.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.6
Price,7.33
Shares Outstanding,49.2M
Short Interest,0.0378
Today's Open,7.57
Volume Past Day,(Light)
