,PTGX
Price/Earnings (TTM),
Price/Sales (TTM),10.62299
Price/Book (MRQ),1.53482
Price/Cash Flow (TTM),
5yr Low,4.47
5yr High,50.54
5yr Avg Return,0.2052833333333333
Short Int Current Month,1820909.0
Short Int Prev Month,1968742.0
Short Int Pct of Float,0.037787299999999996
Days to Cover,2.54364
Float,48.48241
Shares Outstanding,49.19841
Institutions Holding Shares,189.0
% Held by Institutions,0.9239700000000001
FCF Growth 5yr,0.0680794607191142
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
