,PTGX
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.06506849315068497
Growth 1yr High Est,-0.11023622047244108
Growth 1yr Consensus Est,-0.08765235681156303
Growth 2yr Low Est,0.2861470721059762
Growth 2yr High Est,-0.013082712006131925
Growth 2yr Consensus Est,0.13653218004992212
Growth 5yr Low Est,0.165638084527012
Growth 5yr High Est,-0.0063027713605758595
Growth 5yr Consensus Est,0.07966765658321807
Growth 5yr Actual/Est,0.043539919637681
Growth 3yr Historic,0.011978481976060301
