,FHN
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.05660377358490576
Growth 1yr High Est,0.030674846625766916
Growth 1yr Consensus Est,-0.012964463479569421
Growth 2yr Low Est,0.10503144654088042
Growth 2yr High Est,0.14033742331288346
Growth 2yr Consensus Est,0.12268443492688194
Growth 5yr Low Est,0.05251572327044021
Growth 5yr High Est,0.07016871165644173
Growth 5yr Consensus Est,0.06134221746344097
Growth 5yr Actual/Est,0.11291871828351319
Growth 3yr Historic,0.10791526762788861
