,FHN
% Below High,0.0004
% Held by Institutions,0.7742
52-Wk Range,['15.00 - 24.78']
Annual Dividend $,0.6
Annual Dividend %,0.0242
Ask,24.82
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.0
Bid,24.76
Bid Size,500.0
Closing Price,24.77
Day Change $,0.1
Day Change %,0.0040999999999999995
Day High,24.78
Day Low,24.63
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.49
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.325
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.67
Prev Close,24.67
Shares Outstanding,536.8M
Short Interest,0.0538
Today's Open,24.63
Volume,2972732.0
Volume 10-day Avg,4107661.0
Volume Past Day,(Light)
