,ZION
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.19161676646706582
Growth 1yr High Est,-0.16174402250351627
Growth 1yr Consensus Est,-0.17668039448529105
Growth 2yr Low Est,-0.12358616101131076
Growth 2yr High Est,0.03741657935226872
Growth 2yr Consensus Est,-0.04308479082952102
Growth 5yr Low Est,0.09953696875542836
Growth 5yr High Est,0.17545886175851422
Growth 5yr Consensus Est,0.1374979152569713
Growth 5yr Actual/Est,0.2485056417707744
Growth 3yr Historic,0.2435764773306164
