,ZION
% Above Low,0.0784
% Held by Institutions,0.8401000000000001
52-Wk Range,['46.58 - 75.44']
Annual Dividend $,1.64
Annual Dividend %,0.0317
Ask,50.68
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,50.01
Bid Size,100.0
Closing Price,50.23
Day Change $,-1.52
Day Change %,-0.0294
Day High,51.71
Day Low,50.16
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.379
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.79
Prev Close,51.75
Shares Outstanding,149.6M
Short Interest,0.0229
Today's Open,51.35
Volume,1465427.0
Volume 10-day Avg,1438603.0
Volume Past Day,(Average)
