,ZION
Price/Earnings (TTM),9.78505
Price/Sales (TTM),2.56212
Price/Book (MRQ),1.81917
Price/Cash Flow (TTM),
5yr Low,23.58
5yr High,75.44
5yr Avg Return,0.029649999999999996
EPS Growth 5yr,0.2778925
Revenue Growth 5yr,0.0301286
Dividend Growth 5yr,0.38752519999999996
Short Int Current Month,3361055.0
Short Int Prev Month,3469666.0
Short Int Pct of Float,0.022896399999999997
Days to Cover,2.23817
Float,147.1624
Shares Outstanding,149.6178
Institutions Holding Shares,648.0
% Held by Institutions,0.840077
FCF Growth 5yr,0.5712432563496394
